brand,word,score
Samsung,samsung,2407.684965270603
Samsung,android,878.8989607089061
Samsung,ultra,564.9645930740784
Samsung,galaxy,464.919968983092
Samsung,s24,364.8929753581284
Samsung,s25,263.1597885462791
Samsung,best,236.40250525246304
Samsung,phone,235.4462665322814
Samsung,user,171.77159976252446
Samsung,team,129.21607658230386
Samsung,like,111.54380249665553
Samsung,better,106.11369333941762
Samsung,24,99.0084719841095
Samsung,bro,92.07799835817217
Samsung,hai,91.20855881971129
Samsung,love,89.47697228248245
Samsung,lover,78.38932214799887
Samsung,king,75.45233342780973
Samsung,25,68.16612251262384
Samsung,fold,64.76461297601503
iPhone,iphone,818.4841261704595
iPhone,apple,314.4865067553321
iPhone,pro,113.77935355832543
iPhone,max,99.29315725241749
iPhone,16,93.18592647634179
iPhone,better,89.29342446042993
iPhone,17,79.14920568413984
iPhone,team,79.02896530123263
iPhone,bro,64.83335852963091
iPhone,like,64.58872742744079
iPhone,phone,63.62282968320838
iPhone,15,63.024630672258944
iPhone,best,60.77191080665049
iPhone,hai,51.14066034996058
iPhone,watch,48.60221765607864
iPhone,just,40.52388320666226
iPhone,iphones,37.248397206415554
iPhone,bhai,36.86259076888916
iPhone,user,35.29436525657382
iPhone,camera,31.05638492180537
Comparison,samsung,327.80952537833826
Comparison,iphone,304.55356884151485
Comparison,apple,212.43314455188886
Comparison,android,154.06463838750145
Comparison,ultra,83.02958416260361
Comparison,better,70.40980025946428
Comparison,galaxy,66.79816555919098
Comparison,s24,64.35171984895536
Comparison,vs,61.7736196659341
Comparison,pro,61.63986800043316
Comparison,phone,58.88715942596354
Comparison,like,52.82094232932067
Comparison,max,50.478204135691094
Comparison,16,46.21474632407927
Comparison,hai,45.87195244680328
Comparison,just,38.9720785362363
Comparison,ka,37.48278558136767
Comparison,s25,34.314174403956066
Comparison,best,32.38009480298729
Comparison,im,30.972114611096977
